,open_time,open,high,low,close,volume,close_time,quote_volume,total_trades,taker_volume,taker_quote_volume
33,1576773180000,7146.49,7146.8,7144.02,7146.67,20.456156,1576773239999,146172.99553416,224,15.074266,107716.15474711
34,1576773240000,7146.47,7146.83,7145.04,7145.93,21.014738,1576773299999,150180.45935044,250,15.240795,108918.43293774
35,1576773300000,7145.96,7145.96,7140.2,7140.5,14.185869,1576773359999,101325.79879667,181,8.273253,59094.40878741
36,1576773360000,7140.36,7146.66,7138.39,7145.61,25.667219,1576773419999,183323.97959854,245,15.845406,113180.92151231
37,1576773420000,7145.62,7146.83,7144.81,7146.83,10.742728,1576773479999,76767.7359535,128,8.045142,57491.44723885
38,1576773480000,7146.82,7159.11,7146.82,7159.1,42.927589,1576773539999,307102.82018597,364,34.102815,243957.40517906
39,1576773540000,7159.1,7165.0,7158.11,7164.98,19.254421,1576773599999,137905.81036977,314,13.882862,99428.2462576
40,1576773600000,7164.98,7167.0,7155.0,7155.85,30.702782,1576773659999,219836.58243343,392,8.195935,58696.25120295
41,1576773660000,7155.85,7156.21,7152.24,7153.48,14.720715,1576773719999,105330.22640829,154,6.224603,44539.85670184
42,1576773720000,7153.46,7154.41,7148.67,7151.68,15.574984,1576773779999,111381.44729981,266,8.857076,63340.4224959
43,1576773780000,7151.21,7156.44,7148.3,7156.44,11.856896,1576773839999,84800.0051904,169,6.659079,47629.57804361
44,1576773840000,7156.44,7157.65,7154.76,7156.53,14.823268,1576773899999,106081.06383571,110,8.25458,59070.35328778
45,1576773900000,7156.04,7157.07,7146.83,7148.81,27.411624,1576773959999,196001.75140747,415,13.498131,96519.0218335
46,1576773960000,7148.85,7150.75,7145.34,7145.9,19.552206,1576774019999,139768.94756042,230,7.409023,52960.1623591
47,1576774020000,7145.9,7147.29,7143.7,7144.08,20.610652,1576774079999,147256.61613973,244,5.347374,38208.83725103
48,1576774080000,7144.41,7145.0,7142.0,7142.0,34.729327,1576774139999,248107.47224768,224,6.891678,49236.46310793
49,1576774140000,7142.0,7148.71,7138.5,7145.0,19.997532,1576774199999,142840.85839994,219,11.694915,83544.57927923
50,1576774200000,7145.0,7145.0,7136.57,7140.15,24.957888,1576774259999,178188.36026448,367,9.788972,69892.21786111
51,1576774260000,7140.33,7141.26,7135.76,7141.01,19.544762,1576774319999,139507.83632077,175,12.709966,90724.99693975
52,1576774320000,7141.0,7147.15,7140.88,7147.15,34.091268,1576774379999,243543.43816146,210,28.977654,207017.5204496
53,1576774380000,7146.48,7148.23,7145.0,7145.77,15.984429,1576774439999,114229.29472611,186,6.39209,45680.04408284
54,1576774440000,7145.78,7147.54,7145.0,7146.24,13.427986,1576774499999,95952.4679489,128,6.339078,45298.50808628
55,1576774500000,7146.26,7147.54,7145.7,7147.13,9.635205,1576774559999,68857.44527214,129,4.7163,33705.80058651
56,1576774560000,7147.05,7147.08,7141.29,7142.43,8.601689,1576774619999,61452.58956274,135,5.079677,36289.38734268
57,1576774620000,7142.42,7142.42,7136.0,7136.56,24.515414,1576774679999,174994.68441049,196,8.681169,61975.25479086
58,1576774680000,7136.08,7138.13,7133.52,7135.52,25.859349,1576774739999,184517.63304146,277,12.208707,87115.87166493
59,1576774740000,7137.12,7138.19,7135.3,7136.57,21.223217,1576774799999,151457.86368771,184,9.222866,65822.69736443
60,1576774800000,7136.76,7137.54,7135.0,7135.54,13.706377,1576774859999,97816.20215725,203,7.47042,53314.95131138
61,1576774860000,7135.51,7141.74,7135.0,7140.65,18.590966,1576774919999,132697.32478889,214,11.466423,81849.5063609
62,1576774920000,7140.52,7141.99,7126.72,7132.58,31.811023,1576774979999,226901.10717596,368,15.41619,109973.44337209
63,1576774980000,7131.74,7133.21,7125.65,7127.26,29.312085,1576775039999,208954.36716644,291,8.309698,59241.38672072
64,1576775040000,7126.98,7132.34,7125.22,7126.0,23.942561,1576775099999,170658.14651433,238,17.932537,127816.93122464
65,1576775100000,7125.27,7125.56,7117.0,7118.35,77.416121,1576775159999,551219.69825004,525,32.223593,229424.35839818
66,1576775160000,7118.64,7125.56,7115.16,7115.16,25.445384,1576775219999,181154.94087966,226,12.498591,89002.46335851
67,1576775220000,7115.14,7126.07,7114.33,7121.27,28.883081,1576775279999,205618.38201547,299,15.076923,107328.00231256
68,1576775280000,7121.16,7122.27,7118.51,7120.71,11.213312,1576775339999,79848.10686749,187,5.791263,41239.79029774
69,1576775340000,7120.71,7121.54,7117.19,7119.3,11.470605,1576775399999,81670.99857934,153,5.309708,37803.00607204
70,1576775400000,7119.33,7128.58,7115.8,7127.82,60.87279,1576775459999,433621.37018418,286,10.730017,76446.57477132
71,1576775460000,7126.7,7126.79,7126.29,7126.65,4.351679,1576775519999,31012.38006581,92,3.443311,24538.85056029
72,1576775520000,7126.58,7126.58,7117.76,7121.56,18.134148,1576775579999,129174.81099817,162,12.406426,88383.53957444
73,1576775580000,7120.86,7123.57,7118.94,7120.53,11.196957,1576775639999,79736.51624617,134,5.824262,41477.44683783
74,1576775640000,7120.69,7122.73,7120.0,7120.1,12.195111,1576775699999,86838.29920318,146,7.779054,55393.93949164
75,1576775700000,7120.44,7123.92,7115.0,7122.21,26.829916,1576775759999,190976.29579634,322,11.714111,83392.00579253
76,1576775760000,7122.18,7129.6,7121.76,7126.86,22.945939,1576775819999,163539.61649118,308,15.816513,112732.00355851
77,1576775820000,7126.81,7128.35,7123.86,7127.01,18.814819,1576775879999,134089.4388543,246,9.414503,67097.09444655
78,1576775880000,7127.05,7128.38,7125.17,7125.57,9.645074,1576775939999,68742.76514143,130,4.20302,29956.40998669
79,1576775940000,7126.21,7132.0,7118.94,7128.2,31.611143,1576775999999,225271.66771294,323,21.054211,150064.79475017
80,1576776000000,7128.31,7132.98,7125.92,7126.8,12.06459,1576776059999,86020.90797531,219,4.586388,32701.55451485
81,1576776060000,7126.84,7128.69,7123.23,7128.54,20.137424,1576776119999,143483.29509448,202,4.987928,35540.61635414
82,1576776120000,7127.99,7129.16,7120.0,7122.07,21.176973,1576776179999,150857.33516013,279,8.937237,63669.18616193
83,1576776180000,7122.88,7125.4,7120.3,7121.3,8.678532,1576776239999,61815.45784572,166,4.244619,30233.70383594
84,1576776240000,7121.34,7122.48,7111.0,7113.36,57.972367,1576776299999,412513.91889694,472,20.297192,144465.91038739
85,1576776300000,7113.35,7119.83,7112.11,7113.08,19.951048,1576776359999,141965.80278894,256,11.84865,84316.20317673
86,1576776360000,7113.07,7123.75,7112.14,7117.09,17.940206,1576776419999,127689.35940159,292,10.395822,73995.57261003
87,1576776420000,7116.98,7123.75,7116.76,7121.0,13.381461,1576776479999,95269.8132641,192,7.16537,51018.29999637
88,1576776480000,7121.08,7124.21,7118.88,7120.68,16.585852,1576776539999,118131.82836629,184,7.302999,52014.73158982
89,1576776540000,7120.74,7126.45,7120.0,7125.99,8.332286,1576776599999,59352.90253838,169,5.385334,38360.19635146
90,1576776600000,7126.0,7126.41,7122.8,7124.48,13.57903,1576776659999,96748.92908013,160,6.244729,44493.08826196
91,1576776660000,7124.47,7124.58,7120.97,7121.15,16.340308,1576776719999,116382.62340914,163,10.140427,72221.82999849
92,1576776720000,7121.14,7129.63,7121.14,7129.17,13.459767,1576776779999,95913.70066979,201,11.36463,80980.65171008
93,1576776780000,7129.61,7129.62,7128.2,7129.15,9.675737,1576776839999,68978.89508594,131,6.716261,47880.93199712
94,1576776840000,7129.15,7129.16,7125.8,7126.02,7.970317,1576776899999,56809.43528105,110,3.390822,24168.39407276
95,1576776900000,7127.13,7133.15,7126.14,7132.98,25.465761,1576776959999,181540.60067386,197,12.248975,87339.22903128
96,1576776960000,7133.01,7146.32,7132.98,7137.01,43.029522,1576777019999,307253.05372819,508,23.274453,166180.05921748
97,1576777020000,7137.02,7138.82,7131.99,7137.17,47.631747,1576777079999,339858.16550203,292,21.64235,154420.27604614
98,1576777080000,7137.16,7149.65,7135.7,7144.34,26.186086,1576777139999,187121.14568691,296,16.858524,120477.42923107
